漁村 ぎょそん
目覚しい めざましい
携わる たずさわる
超 ちょう
汚す けがす
補給 ほきゅう
其れ それ
復活 ふっかつ
機 はた
善良 ぜんりょう
結び付ける むすびつける
有する ゆうする
真上 まうえ
密接 みっせつ
侵す おかす
近眼 きんがん
勝利 しょうり
真ん中 まんなか
障る さわる
素敵 すてき
荒廃 こうはい
整える ととのえる
外相 がいしょう
称する しょうする
備わる そなわる
規約 きやく
措置 そち
見合わせる みあわせる
卑しい いやしい
田園 でんえん
無線 むせん
採掘 さいくつ
心情 しんじょう
任命 にんめい
拐う さらう
音色 おんいろ
原形 げんけい
根拠 こんきょ
一心 いっしん
役立つ やくだつ
作用 さよう
貝殻 かいがら
説く とく
駄作 ださく
何しろ なにしろ
放出 ほうしゅつ
心中 しんじゅう
正しく まさしく
上演 じょうえん
本質 ほんしつ
若しかしたら もしかしたら
間違う まちがう
申告 しんこく
仰ぐ あおぐ
殿様 とのさま
福祉 ふくし
交互 こうご
重宝 じゅうほう
再会 さいかい
合議 ごうぎ
産婦人科 さんふじんか
神殿 しんでん
股 また
振り出し ふりだし
揶揄う からかう
混血 こんけつ
野党 やとう
分子 ぶんし
疎か おろそか
病 やまい
外観 がいかん
申し込み もうしこみ
磁器 じき
転勤 てんきん
変革 へんかく
現場 げんじょう
手軽 てがる
指図 さしず
時刻表 じこくひょう
藻掻く もがく
草臥れる くたびれる
待ち遠しい まちどおしい
突く つつく
了解 りょうかい
左様なら さようなら
手筈 てはず
その外 そのほか
区画 くかく
聴講 ちょうこう
街道 かいどう
好評 こうひょう
処分 しょぶん
慌ただしい あわただしい
近郊 きんこう
而も しかも
お巡りさん おまわりさん
乗り換え のりかえ
上回る うわまわる
切れ目 きれめ
報ずる ほうずる
正規 せいき
展望 てんぼう
英雄 えいゆう
脈 みゃく
賛美 さんび
暇 いとま
行い おこない
片思い かたおもい
決行 けっこう
畜生 ちくしょう
落ち込む おちこむ
洒落 しゃらく
連盟 れんめい
嘗て かつて
家畜 かちく
擽ぐったい くすぐったい
命中 めいちゅう
指令 しれい
図る はかる
反感 はんかん
妥協 だきょう
危機 きき
交易 こうえき
有りのまま ありのまま
朗読 ろうどく
器 うつわ
昼間 ちゅうかん
揉める もめる
其れ共 それとも
情 じょう
修飾 しゅうしょく
放り込む ほうりこむ
花壇 かだん
助け たすけ
既婚 きこん
何時の間にか いつのまにか
旅券 りょけん
偏 へん
未だ いまだ
緩やか ゆるやか
漂う ただよう
掌 たなごころ
天 あまつ
実質 じっしつ
移住 いじゅう
仕舞 しまい
揃い そろい
保つ たもつ
重役 おもやく
感染 かんせん
私用 しよう
対談 たいだん
勧め すすめ
元年 がんねん
代わる かわる
腐敗 ふはい
写し うつし
軽快 けいかい
微か かすか
地形 じぎょう
玄人 くろうと
小銭 こぜに
市街 しがい
甘い うまい
取り扱い とりあつかい
得点 とくてん
決勝 けっしょう
専ら もっぱら
宣言 せんげん
勤め先 つとめさき
質疑 しつぎ
妨害 ぼうがい
及ぶ およぶ
ぶら下げる ぶらさげる
節 せつ
諮る はかる
用法 ようほう
今晩は こんばんは
該当 がいとう
荷 に
結合 けつごう
面する めんする
余興 よきょう
域外 いきがい
甥 おい
異動 いどう
鋸 のこぎり
改革 かいかく
妥結 だけつ
収集 しゅうしゅう
